#TYPE Selected.System.Management.Automation.PSCustomObject
"Title";"Link"
"Conversation BRK3217 - Run Microsoft Exchange Hybrid for the long haul (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3217-Run-Microsoft-Exchange-Hybrid-for-the-long-haul/m-p/9506#M57"
"Conversation BRK1026 - Maximize breakthrough server performance with Microsoft solutions from Lenovo in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1026-Maximize-breakthrough-server-performance-with-Microsoft/m-p/9507#M58"
"Conversation BRK3218 - Discover what's new and what's coming for Microsoft Outlook (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3218-Discover-what-s-new-and-what-s-coming-for-Microsoft/m-p/9508#M59"
"Conversation BRK3219 - Migrate to Exchange Online via Exchange Hybrid (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3219-Migrate-to-Exchange-Online-via-Exchange-Hybrid-Microsoft/m-p/9509#M60"
"Conversation BRK2238 - Come learn about Microsoft IoT Vision in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2238-Come-learn-about-Microsoft-IoT-Vision/m-p/9510#M61"
"Conversation BRK3220 - Deploy Microsoft Exchange Server 2016 in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3220-Deploy-Microsoft-Exchange-Server-2016/m-p/9512#M62"
"Conversation BRK1027 - Review Microsoft Visio and its future roadmap in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1027-Review-Microsoft-Visio-and-its-future-roadmap/m-p/9513#M63"
"Conversation BRK3221 - Understand the Microsoft Exchange Server 2016 Architecture in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3221-Understand-the-Microsoft-Exchange-Server-2016/m-p/9514#M64"
"Conversation BRK2239 - Delight users and IT with modern identity experiences on Windows 10 in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2239-Delight-users-and-IT-with-modern-identity-experiences-on/m-p/9515#M65"
"Conversation BRK1028 - Transform and transcend: the modern IT Pro journey (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1028-Transform-and-transcend-the-modern-IT-Pro-journey/m-p/9516#M66"
"Conversation BRK2240 - Review Office 365 release, change, and communication in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2240-Review-Office-365-release-change-and-communication/m-p/9517#M67"
"Conversation BRK3222 - Implement Microsoft Exchange Online Protection (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3222-Implement-Microsoft-Exchange-Online-Protection-Microsoft/m-p/9518#M68"
"Conversation BRK1029 - Run Microsoft SharePoint on Azure (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1029-Run-Microsoft-SharePoint-on-Azure-Microsoft-Ignite-2016/m-p/9519#M69"
"Conversation BRK2241-Build modern e-commerce solutions on Microsoft Azure in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2241-Build-modern-e-commerce-solutions-on-Microsoft-Azure/m-p/9520#M70"
"Conversation BRK3223 - Understand how Attom Data Solutions is using SQL Server 2016 to accelerate their business in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3223-Understand-how-Attom-Data-Solutions-is-using-SQL-Server/m-p/9521#M71"
"Conversation BRK2243 - Enable new scenarios for customer-facing applications and services in the Enterprise in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2243-Enable-new-scenarios-for-customer-facing-applications/m-p/9522#M72"
"Conversation BRK1031 - Meetup: Educate and excite through computer science in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1031-Meetup-Educate-and-excite-through-computer-science/m-p/9523#M73"
"Conversation BRK3224 - Architect robust Big Data Solutions with Azure Data Lake (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3224-Architect-robust-Big-Data-Solutions-with-Azure-Data-Lake/m-p/9524#M74"
